Nazwa filmu,Url filmu,Data i autor,Czas trwania
Twórcy 3D mappingu z Politechniki docenieni,https://www.pk.edu.pl/index.php?option=com_content&view=article&id=2339:tworcy-3d-mappingu-z-politechniki-docenieni&catid=8&Itemid=405&lang=pl,24 maj 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 2:38
PK 70-lecie WIL - YouTube,https://www.youtube.com/watch?v=MMKST65u2vM,24 cze 2015 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:20
Tajemnice mikroświata - Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/tajemnice_mikroswiata.html,28 sty 2020 - Przesłany przez: Ziemniak,▶ 15:04
Youtuberzy eksperymentują na PK!,https://www.pk.edu.pl/index.php?option=com_content&view=article&id=3137:youtuberzy-eksperymentuja-na-pk&catid=49&lang=pl&Itemid=944,28 wrz 2019 - Przesłany przez: Ziemniak,▶ 14:41
Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/mysl_studencka_kontra_inzynierowie_ferrari.html,11 cze 2018 - Przesłany przez: Kamil - In Travel,▶ 4:24
Politechnika Krakowska w Magazynie Akademickim TVP ...,https://www.youtube.com/watch?v=FLUhkhA8rZ4,5 lip 2013 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 6:28
50 lat WIiTCh PK - Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/50_lat_wiitch_pk.html,19 lis 2016 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 6:14
Technologie Multimedialne - Politechnika Krakowska,http://torus.uck.pk.edu.pl/~tm/,9 sty 2011 - Przesłany przez: Pawel Ozimek,▶ 0:31
Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/banki_mydlane_na_zimno.html,26 lut 2018 - Przesłany przez: Ziemniak,▶ 8:51
"Jesteście ciekawi, jak stary olej ze... - Politechnika Krakowska ...",https://pl-pl.facebook.com/Politechnika.Krakowska/posts/jeste%C5%9Bcie-ciekawi-jak-stary-olej-ze-sma%C5%BCenia-frytek-przetworzy%C4%87-na-polimerow%C4%85-pi/2058879890854348/,5 lut 2019,▶ 1:33
Politechnika Krakowska im. Tadeusza Kościuszki - 3D ...,https://pt-br.facebook.com/Politechnika.Krakowska/videos/3d-mapping-pa%C5%82acu-kr%C3%B3lewskiego-w-%C5%82obzowie/1711306145611726/,10 lis 2018,▶
Politechnika Krakowska im. Tadeusza Kościuszki - 3D ...,https://fr-fr.facebook.com/Politechnika.Krakowska/videos/3d-mapping-pa%C5%82acu-kr%C3%B3lewskiego-w-%C5%82obzowie/1711306145611726/,24 lis 2018,▶
JM Rektor PK prof. dr hab. inż.... - Politechnika Krakowska im ...,https://www.facebook.com/Politechnika.Krakowska/posts/jm-rektor-pk-prof-dr-hab-in%C5%BC-kazimierz-furtak-zaprasza-na-spotkanie-ju%C5%BC-dzi%C5%9B-o-1/939892762753072/,,▶
Inżynierskie Targi Pracy PK 2019 - Radio Nowinki ...,http://nowinki.mech.pk.edu.pl/video/inzynierskie_targi_pracy_pk_2019.html,24 paź 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 4:33
Politechnika Krakowska im. Tadeusza Kościuszki - pomaturze.pl,https://www.pomaturze.pl/szkola/politechnika+krakowska+im+tadeusza+kosciuszki/2030:606?PageSpeed=noscript,7 gru 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 1:05
Laboratorium Inżynierii Ruchu Kolejowego na PK wyróżnione ...,https://www.pk.edu.pl/index.php?option=com_content&view=article&id=2614:laboratorium-inzynierii-ruchu-kolejowego-na-pk-z-wyroznieniem-urzedu-transportu-kolejowego&catid=49&lang=pl&Itemid=944,9 paź 2018 - Przesłany przez: Wydział Inżynierii Lądowej Politechniki Krakowskiej im. Tadeusza Kościuszki,▶ 6:04
Politechnika Krakowska im. Tadeusza Kościuszki - „O włos od ...,https://kk-kz.facebook.com/Politechnika.Krakowska/videos/252465805448112/,,▶
Studenci Politechniki z przedświąteczną pomocą dla ...,https://www.pk.edu.pl/index.php?option=com_content&view=article&id=3265:studenci-politechniki-z-przedswiateczna-pomoca-dla-potrzebujacych&catid=49&lang=pl&Itemid=944,19 gru 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 2:43
Architektura w przestrzeni sztuk 2018 - Politechnika Krakowska,https://www.pk.edu.pl/index.php?option=com_content&view=archive&year=2018&month=4&lang=pl,25 kwi 2018 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:56
Dzień Otwarty WIL - Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/dzien_otwarty_wil.html,28 sty 2020 - Przesłany przez: Wydział Inżynierii Lądowej Politechniki Krakowskiej im. Tadeusza Kościuszki,▶ 8:25
Na Wydziale Fizyki Matematyki i... - Politechnika Krakowska ...,https://pl-pl.facebook.com/Politechnika.Krakowska/posts/2111956065546730,,▶
Radio Nowinki Politechnika Krakowska,http://nowinki.mech.pk.edu.pl/video/vii_miedzynarodowy_konkurs_piosenki_o_nagrode_rektora_politechniki_krakowskiej_.html,28 sty 2020 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 4:29
Dr inż. Maria Kurańska z Politechnika... - Centrum Transferu ...,https://mk-mk.facebook.com/CTTPK/posts/dr-in%C5%BC-maria-kura%C5%84ska-z-politechnika-krakowska-im-tadeusza-ko%C5%9Bciuszki-i-jej-poli/2474058505969391/,9 lut 2019,▶
Politechnika Krakowska EDT - YouTube,https://www.youtube.com/watch?v=rABBzmYA51c,9 lut 2019 - Przesłany przez: Imperia Film,▶ 1:58
Złoty Indeks Politechniki Krakowskiej - YouTube,https://www.youtube.com/watch?v=07DEMyWVJqM,14 kwi 2016 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 3:05
Politechnika Krakowska im. Tadeusza Kościuszki - „O włos od ...,https://zh-cn.facebook.com/Politechnika.Krakowska/videos/252465805448112/,,▶
PK Mikołajki - YouTube,https://www.youtube.com/watch?v=EdIGiR3d-g0&index=13&list=PUS2Knpai_CCmd2ib5KpgpqA,17 gru 2014 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 4:50
Rajd Politechniki Krakowskiej | SSPK,https://www.samorzad.pk.edu.pl/?page_id=3971,30 kwi 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 4:22
Na PK już pojawili się nowi studenci!... - Politechnika ...,https://pl-pl.facebook.com/Politechnika.Krakowska/videos/2535167673386529/,13 wrz 2019,▶ 0:11
57. Elficki Rajd Politechniki Krakowskiej - Radio Nowinki ...,http://nowinki.mech.pk.edu.pl/video/57_elficki_rajd_politechniki_krakowskiej.html,20 gru 2019 - Przesłany przez: Politechnika Krakowska im. Tadeusza Kościuszki,▶ 4:24
